Wall time,Step,Value
1497519700.052285,25,6.5875115394592285
1497519706.546727,57,6.559134483337402
1497519707.123023,60,6.530576705932617
1497519782.743957,589,5.688632011413574
1497519827.660952,905,5.414185523986816
1497519853.636155,1091,5.742836952209473
1497519870.431692,1211,5.726208686828613
1497519974.547153,1783,5.198707580566406
1497520021.361026,2026,4.879791736602783
1497520037.856082,2112,5.016608715057373
1497520076.400134,2313,5.048710346221924
1497520130.347324,2595,4.859245300292969
1497520158.092097,2740,4.817496299743652
1497520182.122098,2866,5.0584306716918945
1497520259.38411,3275,4.213903427124023
1497520324.839287,3620,4.521378993988037
1497520348.432192,3744,4.3018646240234375
1497520350.125234,3753,4.584377288818359
1497520353.127396,3769,4.4070258140563965
1497520368.089166,3848,4.520204544067383
1497520396.870103,4000,4.29276704788208
1497520400.844352,4021,4.233967304229736
1497520597.298099,5054,4.069718837738037
1497520702.079768,5597,3.7185781002044678
1497520736.011282,5774,3.8348774909973145
1497520843.859607,6334,3.990201473236084
1497520948.454406,6876,3.6752984523773193
1497521008.20781,7184,3.540627956390381
1497521017.098126,7230,3.4771673679351807
1497521040.395548,7350,3.637608528137207
1497521112.329212,7720,3.612043857574463
1497521131.962392,7821,3.797494411468506
1497521209.426031,8219,3.340581178665161
1497521242.941309,8391,3.5328190326690674
1497521344.332245,8911,3.3135766983032227
1497521468.478971,9543,3.130669116973877
1497521486.296839,9634,3.3217334747314453
1497521489.018656,9648,3.176698684692383
1497521526.438362,9839,2.941927433013916
1497521548.615063,9952,3.1899805068969727
1497521624.876011,10341,3.046506643295288
1497521632.524705,10380,3.1157102584838867
1497521668.513823,10563,3.1618404388427734
1497521674.62754,10594,3.339646339416504
1497521692.159705,10683,3.0000839233398438
1497521717.428476,10808,3.2121825218200684
1497521723.941085,10841,3.0150973796844482
1497521742.466527,10935,3.104572057723999
1497521752.131179,10984,3.3859493732452393
1497521755.917686,11003,3.0181736946105957
1497521798.070238,11217,3.061478614807129
1497521804.797311,11251,2.9539921283721924
1497521897.793599,11722,3.016467571258545
1497522013.460008,12306,2.896475076675415
1497522051.819479,12500,2.724885940551758
1497522150.80605,12998,3.0386345386505127
1497522173.046659,13109,3.4547669887542725
1497522186.981436,13179,3.0386924743652344
1497522333.347058,13913,2.8437509536743164
1497522402.627525,14261,2.7088375091552734
1497522417.085572,14333,2.7212634086608887
1497522448.249498,14489,3.094550609588623
1497522449.642107,14496,2.654542922973633
1497522459.812081,14547,3.020576000213623
1497522477.537548,14636,2.8344690799713135
1497522537.085962,14934,2.694631338119507
1497522556.314652,15030,2.8346028327941895
1497522571.300416,15105,2.82275652885437
1497522584.30551,15170,3.001622200012207
1497522600.509709,15251,2.6774275302886963
1497522649.538672,15496,2.8723132610321045
1497522677.892132,15637,2.483966588973999
1497522717.109531,15831,2.719606637954712
1497522770.67691,16098,2.8500163555145264
1497522795.530056,16218,2.64123797416687
1497522861.970746,16548,2.5842642784118652
1497522880.199213,16639,2.6972291469573975
1497522911.934891,16797,2.598510980606079
1497522924.796458,16861,2.4930408000946045
1497523065.360014,17558,2.5711729526519775
1497523066.579061,17564,2.2556235790252686
1497523109.928402,17779,2.421971082687378
1497523158.112042,18016,2.331038236618042
1497523169.993096,18075,2.384782314300537
1497523449.679198,19456,2.441413164138794
1497523460.591084,19510,2.478367328643799
1497523506.086585,19734,2.3048760890960693
1497523515.440643,19780,2.356062650680542
1497523537.488798,19889,2.1181540489196777
1497523539.701345,19900,2.196265697479248
1497523696.511901,20673,2.2526071071624756
1497523822.749681,21293,2.4810597896575928
1497523898.107627,21659,2.4273366928100586
1497524054.535236,22427,2.283466100692749
1497524078.200753,22545,2.2140345573425293
1497524117.887672,22737,2.1758809089660645
1497524125.222924,22773,2.446942090988159
1497524309.129108,23673,2.2452876567840576
1497524370.007332,23971,2.3642470836639404
1497524414.230163,24187,2.1469058990478516
1497524731.112884,25734,2.1963887214660645
1497524879.361949,26457,1.9936103820800781
1497524975.640251,26922,2.1851806640625
1497525004.450574,27062,2.1031296253204346
1497525123.442336,27641,2.1681551933288574
1497525140.163183,27722,2.008200168609619
1497525268.098532,28344,2.0817155838012695
1497525395.117486,28962,2.223482847213745
1497525451.625151,29236,2.0679378509521484
1497525500.288843,29473,1.8484201431274414
1497525608.244053,29997,1.7100635766983032
1497525665.869513,30277,1.7997475862503052
1497525673.258637,30313,2.045806407928467
1497525703.368628,30459,1.9749226570129395
1497525737.108731,30623,2.117812156677246
1497525878.558188,31309,1.7800414562225342
1497525882.687697,31329,1.9830338954925537
1497526088.06338,32320,1.8379747867584229
1497526167.692438,32706,1.8755426406860352
1497526249.492206,33102,1.8572845458984375
1497526254.936165,33128,1.7996890544891357
1497526263.197199,33168,1.8669637441635132
1497526359.700556,33636,1.8663761615753174
1497526416.943651,33913,1.7239997386932373
1497526485.50089,34244,1.9361631870269775
1497526503.711547,34332,1.9433289766311646
1497526583.332612,34718,1.7203317880630493
1497526702.43663,35294,1.759798288345337
1497526727.710033,35416,2.160274028778076
1497526777.14213,35655,1.812454342842102
1497526833.549289,35928,1.8663681745529175
1497526881.433423,36160,1.7099791765213013
1497526923.329814,36363,1.8827928304672241
1497526930.793403,36399,1.8530690670013428
1497526961.564791,36548,1.8768079280853271
1497527003.075951,36749,1.7925442457199097
1497527013.265661,36798,1.5894062519073486
1497527041.925684,36937,1.671466588973999
1497527092.154381,37180,1.8839503526687622
1497527217.464839,37782,1.7045674324035645
1497527288.505884,38126,1.8600807189941406
1497527529.729341,39291,1.6394118070602417
1497527546.892732,39374,1.7206934690475464
1497527567.824333,39475,1.9784038066864014
1497527582.479349,39546,1.8918284177780151
1497527599.126601,39627,1.5654127597808838
1497527633.188982,39792,1.8056784868240356
1497527653.417418,39890,1.830870509147644
1497527714.141091,40182,1.5117064714431763
1497527743.395133,40323,1.9438389539718628
1497527845.097105,40814,1.8098948001861572
1497527883.395572,40998,1.6792572736740112
1497527893.10346,41045,1.8312702178955078
1497527948.088963,41310,1.7553825378417969
1497528009.297823,41606,1.6274518966674805
1497528101.460071,42051,1.676006555557251
1497528158.858288,42328,1.796497106552124
1497528187.82234,42467,1.774687647819519
1497528300.04651,43005,1.6873939037322998
1497528339.556734,43196,1.7660877704620361
1497528401.074971,43492,1.5864028930664062
1497528412.068497,43545,1.6405993700027466
1497528422.653399,43596,1.7808672189712524
1497528427.624392,43620,1.542259931564331
1497528430.33928,43633,1.66019606590271
1497528466.226184,43806,1.6811695098876953
1497528468.10238,43815,1.753839135169983
1497528501.757298,43978,1.7514026165008545
1497528513.945713,44037,1.5947929620742798
1497528534.527539,44134,1.4941909313201904
1497528543.869703,44179,1.7035483121871948
1497528588.109685,44392,1.6129099130630493
1497528590.820578,44405,1.733407735824585
1497528625.7459,44574,1.6995660066604614
1497528668.130637,44779,1.6349049806594849
1497528803.357117,45429,1.7693836688995361
1497528813.97691,45480,1.7910611629486084
1497529022.639434,46484,1.6709463596343994
1497529053.427653,46632,1.85322105884552
1497529155.604426,47124,1.6584504842758179
1497529159.589553,47143,1.7816749811172485
1497529260.208606,47627,1.7679939270019531
1497529467.154918,48617,1.6208360195159912
1497529475.851418,48659,1.73378324508667
1497529484.137292,48699,1.7219207286834717
1497529508.869975,48818,1.8763759136199951
1497529605.383267,49284,1.636779546737671
1497529652.652499,49511,1.6662222146987915
1497529761.038451,50031,1.4895727634429932
1497529783.54206,50139,1.6552287340164185
1497529783.76257,50140,1.6592453718185425
1497529793.729795,50188,1.5453503131866455
1497529870.578764,50558,1.5722365379333496
1497529903.482383,50716,1.622787356376648
1497529974.020045,51055,1.3370722532272339
1497530112.657114,51719,1.6438579559326172
1497530152.785933,51912,1.5440281629562378
1497530279.331509,52521,1.614984154701233
1497530350.842784,52865,1.6796640157699585
1497530381.841836,53014,1.5705382823944092
1497530442.171585,53302,1.4738258123397827
1497530526.283423,53701,1.5482431650161743
1497530546.719773,53799,1.576829433441162
1497530549.026551,53810,1.5966980457305908
1497530585.882485,53987,1.627738118171692
1497530655.355897,54321,1.5966651439666748
1497530682.315818,54450,1.5069903135299683
1497530780.261272,54921,1.5500578880310059
1497530783.793777,54938,1.4763075113296509
1497530803.845623,55034,1.4972240924835205
1497531020.303281,56073,1.4030412435531616
1497531041.158822,56173,1.5028009414672852
1497531145.558692,56675,1.395177960395813
1497531149.714561,56695,1.6973775625228882
1497531171.884315,56801,1.5081219673156738
1497531187.965158,56878,1.5407103300094604
1497531266.362809,57254,1.5724478960037231
1497531369.940836,57749,1.5683495998382568
1497531408.433074,57934,1.5907906293869019
1497531611.250607,58906,1.585331916809082
1497531643.328944,59057,1.4730528593063354
1497531742.422918,59532,1.5038328170776367
1497531758.211769,59607,1.5154556035995483
1497531807.047039,59841,1.5064070224761963
1497531820.618149,59906,1.505385160446167
1497531948.389576,60520,1.5211528539657593
1497531955.114367,60552,1.535919189453125
1497532226.761601,61851,1.297921895980835
1497532253.450201,61979,1.372214913368225
1497532315.348219,62275,1.3330851793289185
1497532322.046967,62307,1.5873003005981445
1497532378.781748,62576,1.5426878929138184
1497532410.052181,62726,1.5663782358169556
1497532478.280432,63053,1.5839259624481201
1497532513.413557,63221,1.486581802368164
1497532533.614617,63318,1.4943358898162842
1497532576.836176,63525,1.5067706108093262
1497532667.506321,63959,1.5937477350234985
1497532771.079383,64451,1.6021331548690796
1497532815.757841,64665,1.4774539470672607
1497532828.944633,64728,1.3576433658599854
1497532871.016025,64929,1.3737326860427856
1497532872.474548,64936,1.427648901939392
1497532912.112944,65126,1.5091073513031006
1497532916.092872,65145,1.4384671449661255
1497532955.889948,65335,1.5160837173461914
1497533018.847386,65637,1.4960534572601318
1497533026.149503,65672,1.36625075340271
1497533190.418926,66458,1.4003082513809204
1497533206.313319,66534,1.5789068937301636
1497533221.189869,66605,1.4758055210113525
1497533269.973576,66838,1.5385953187942505
1497533292.394567,66945,1.3930010795593262
1497533363.483079,67285,1.5019898414611816
1497533426.87418,67588,1.5173618793487549
1497533467.133154,67780,1.6125986576080322
1497533512.328517,67996,1.3801279067993164
1497533547.454924,68164,1.3942233324050903
1497533604.506712,68437,1.3706245422363281
1497533607.460342,68451,1.4204100370407104
1497533724.900542,69012,1.5243935585021973
1497533725.108353,69013,1.4669758081436157
1497533744.599808,69106,1.4674100875854492
1497533871.986455,69715,1.4977906942367554
1497533980.264438,70229,1.5435632467269897
1497534081.450073,70713,1.3204896450042725
1497534094.839972,70777,1.4978053569793701
1497534151.125053,71046,1.4245686531066895
1497534190.009507,71232,1.3783377408981323
1497534210.498358,71330,1.4291281700134277
1497534272.322687,71625,1.4725353717803955
1497534323.527981,71870,1.4568793773651123
1497534399.302768,72231,1.4643895626068115
1497534401.826873,72243,1.57963228225708
1497534438.066173,72416,1.5050787925720215
1497534595.458467,73167,1.410410761833191
1497534596.706643,73173,1.2995822429656982
1497534749.854982,73905,1.4758042097091675
1497534783.986195,74068,1.4087002277374268
1497534810.212547,74193,1.2674680948257446
1497534815.432436,74218,1.5033271312713623
1497534942.296695,74823,1.5090210437774658
1497534961.181748,74913,1.266810655593872
1497534989.33552,75047,1.400483250617981
1497535167.655088,75894,1.3342746496200562
1497535227.593883,76180,1.3267649412155151
1497535262.678637,76347,1.4085967540740967
1497535284.848992,76453,1.3304572105407715
1497535307.097898,76559,1.3353244066238403
1497535423.855532,77116,1.1595942974090576
1497535485.811129,77411,1.4261417388916016
1497535551.767765,77726,1.4488489627838135
1497535594.5794,77930,1.257940649986267
1497535630.793876,78103,1.3554489612579346
1497535641.497768,78154,1.433577060699463
1497535759.882161,78719,1.243500828742981
1497535789.652044,78861,1.4576386213302612
1497535812.969277,78972,1.3299095630645752
1497535849.05438,79144,1.3741471767425537
1497535867.311531,79231,1.4423513412475586
1497535904.693294,79409,1.331304669380188
1497536016.140934,79940,1.4678709506988525
1497536029.454,80003,1.4111751317977905
1497536058.969839,80144,1.3484750986099243
1497536091.317647,80298,1.2938512563705444
1497536109.030105,80382,1.377205491065979
1497536194.77979,80787,1.3410496711730957
1497536203.366364,80828,1.292497158050537
1497536218.193748,80899,1.37961745262146
1497536315.220631,81362,1.4170864820480347
1497536336.013474,81461,1.42265784740448
1497536429.873627,81908,1.4149160385131836
1497536581.332535,82630,1.205782175064087
1497536629.990784,82862,1.3221445083618164
1497536659.207914,83001,1.3746743202209473
1497536772.081624,83539,1.3752484321594238
1497536780.889187,83581,1.3474540710449219
1497536782.575037,83589,1.3478236198425293
1497536792.228746,83635,1.2865550518035889
1497536823.518564,83784,1.32460618019104
1497536826.028844,83796,1.3773201704025269
1497536830.450193,83817,1.3337738513946533
1497537300.174049,86052,1.2044161558151245
1497537318.211965,86138,1.3642700910568237
1497537453.615962,86783,1.3691749572753906
1497537455.282673,86791,1.2326478958129883
1497537536.705718,87179,1.4474490880966187
1497537629.833849,87622,1.3490219116210938
1497537699.934543,87956,1.3001476526260376
1497537880.505584,88817,1.4995369911193848
1497537961.583458,89203,1.2076592445373535
1497538001.651095,89393,1.2967472076416016
1497538021.403571,89487,1.4206173419952393
1497538136.661656,90035,1.2591712474822998
1497538223.881768,90450,1.2836514711380005
1497538230.809602,90483,1.3576122522354126
1497538441.713606,91483,1.284274697303772
1497538463.343128,91586,1.3780195713043213
1497538506.481696,91791,1.1733603477478027
1497538818.438047,93276,1.340632677078247
1497538865.902834,93502,1.199472188949585
1497538881.534638,93576,1.3358144760131836
1497538896.546398,93647,1.252312421798706
1497538956.236151,93931,1.3646783828735352
1497538964.238566,93969,1.3432955741882324
1497538976.648574,94028,1.3772321939468384
1497539051.038361,94382,1.1615289449691772
1497539148.53975,94846,1.2873514890670776
1497539170.452569,94950,1.2685295343399048
1497539340.816125,95760,1.2963378429412842
1497539541.162309,96709,1.1841827630996704
1497539587.432533,96929,1.363122582435608
1497539588.063626,96932,1.3043625354766846
1497539658.41109,97266,1.2828731536865234
1497539693.283406,97432,1.3002195358276367
1497539696.026679,97445,1.2220251560211182
1497539697.278745,97451,1.2772002220153809
1497539719.318996,97556,1.3156771659851074
1497539732.74073,97620,1.2890056371688843
1497540084.353601,99291,1.2387787103652954
1497540086.272046,99300,1.3142282962799072
1497540185.189384,99771,1.3875246047973633
1497540199.046562,99837,1.2948081493377686
1497540200.961837,99846,1.1441168785095215
1497540215.247107,99914,1.286431074142456
1497540436.881985,100967,1.1997004747390747
1497540517.21234,101349,1.2651340961456299
1497540525.399999,101388,1.1552079916000366
1497540537.143197,101444,1.178905963897705
1497540555.882261,101533,1.2513163089752197
1497540624.298022,101858,1.2901191711425781
1497540635.212157,101910,1.2079136371612549
1497540684.711244,102142,1.178770899772644
1497540699.031293,102210,1.266112208366394
1497540717.937273,102300,1.210983395576477
1497540754.41171,102473,1.2827630043029785
1497540777.790122,102584,1.2034636735916138
1497540794.467614,102663,1.2687296867370605
1497540863.336017,102990,1.1755982637405396
1497540992.821545,103605,1.2737860679626465
1497541006.096259,103668,1.2375792264938354
1497541015.777516,103714,1.1631338596343994
1497541124.255264,104230,1.260484218597412
1497541265.142634,104900,1.1652549505233765
1497541282.240962,104981,1.2289491891860962
1497541636.081842,106663,1.2441203594207764
1497541676.040721,106853,1.2580225467681885
1497541762.361816,107263,1.2689212560653687
1497541811.338244,107492,1.1757457256317139
1497541934.533147,108077,1.1644306182861328
1497542154.604459,109122,1.032265067100525
1497542192.724138,109303,1.2460253238677979
1497542417.558419,110370,1.0436744689941406
1497542539.052186,110947,1.272273302078247
1497542630.089986,111379,1.2987854480743408
1497542736.155547,111882,1.2230080366134644
1497542750.705167,111951,1.1960089206695557
1497542768.798456,112037,1.2509255409240723
1497542838.08088,112366,1.3314869403839111
1497542851.628885,112430,1.2471733093261719
1497542882.77674,112578,1.2422293424606323
1497542895.822351,112640,1.2873938083648682
1497542939.2031,112843,1.1672416925430298
1497543170.721475,113943,1.1968810558319092
1497543196.475443,114065,1.1354867219924927
1497543232.645135,114237,1.2074726819992065
1497543334.930894,114722,1.2135999202728271
1497543360.674581,114844,1.2636072635650635
1497543401.941532,115040,1.236088752746582
1497543627.367605,116109,1.252117395401001
1497543647.424189,116204,1.211146593093872
1497543649.529653,116214,1.291184902191162
1497543708.398996,116494,1.2242885828018188
1497543809.622175,116974,1.1358869075775146
1497543841.446212,117125,1.288443684577942
1497543919.91324,117498,1.0653598308563232
1497543928.521574,117539,1.284509539604187
1497543931.472159,117553,1.2498825788497925
1497543964.56148,117710,1.1452031135559082
1497544039.656117,118063,1.2116966247558594
1497544075.934434,118235,1.1383380889892578
1497544078.687248,118248,1.1799205541610718
1497544113.953052,118415,1.2577235698699951
